File_ID,Carvone,Hexadecanal,Methyl Hexadecanoate,Ethyl Hexadecanoate,Octadecenal,Methyl Octadecenoate,Heneicosane,Ethyl Octadecenoate,Ethyl Octadecanoate,Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosane,Pentacosene,Pentacosane,Methyl Tetradecanoate,Ethyl Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,"Decanoic acid, Hexadecyl Ester",Octacosene,Tetracosyl Acetate,Nonacosene,Nonacosane,"Unknown1, mz 108,79; mw=402",Hexacosyl Acetate,Triacontene,"Hexadecenoic Acid, Dodecyl Ester","Octadecenoic Acid, Decyl Ester",Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Tritriacontene,Tritriacontane,"Unknown2, mz434,390; mw=?","Octadecenoic Acid, Hexadecyl Ester","Unknown3, mz 464,338,265,201,127; mw=?","Hexadecenoic acid, Hexadecyl Ester","Hexadecenoic acid, Octadecenyl Ester","Octadecenoic Acid, Hexadecenyl Ester",Octanoic Acid,"Octanoic Acid, Ethyl Ester"
34_1.cdf,0.02855287,0.037794616,0.5785931,0.150770109,0.054451203,0.416352239,1.914889323,0.335439012,0.04462773,0.589681697,15.35291319,20.16935168,1.127437279,1.768489915,15.53519076,19.95804351,0.129792141,0.036609324,0.031774109,0.057087599,0.72824258,0.646948689,1.865099202,7.509030579,0.52141339,0.00358826,0.034544159,1.847293197,0.783238758,2.968891381,0.714891654,1.121301841,0.041552702,0.031338674,0,0.766764878,1.236683096,0.638626867,0.06652828,0.072902596,0.010599122,0.00051387,0.000630003,0.038312427,0.010551394,0.011725327,0.009508102,0.001437565
35_1.cdf,0.016742738,0.026535393,0.204008755,0.076171266,0.028999162,0.207426209,1.749784848,0.215897207,0.024070377,0.605750281,14.66792104,20.39262671,1.142946945,1.857419532,15.76942234,20.25068449,0.036499459,0.020577184,0.022598907,0.035438331,0.731011743,0.675474436,2.10979483,8.473305779,0.529507893,0.000157752,0.041860463,1.282091251,0.73224865,3.557660436,0.639037046,0.867970729,0.017096506,0,0,0.773878222,1.451329027,0.563904688,0.066566107,0.08318123,0.011426853,0.002064712,0,0.020689211,0.010793341,0.005185981,0.001041059,0.001200875
36_1.cdf,0.030272294,0.029395647,0.102517151,0.013491476,0.027226469,0.152505338,1.135547557,0.042855728,0.016005377,0.139237078,8.763095536,18.69426042,0.441973911,0.567075799,17.2223531,19.76493444,0.025132851,0.015735447,0.024523934,0.041374272,0.748083477,0.705236086,5.966380838,12.27392614,0.695133327,0,0.131345328,0.587037532,2.020895551,4.687658962,0.728257904,0.575788985,0.022738091,0.020991707,0.008130519,1.291059312,1.490603256,0.623488362,0.063847718,0.068699362,0.016917209,0.001593868,0,0.007046187,0.011302772,0.001998252,0.000884009,0.001441418
37_1.cdf,0.055583214,0.025594211,0.167725507,0.511154065,0.029403969,0.14610993,0.812417209,0.43979642,0.077798294,0.261561157,11.09054411,18.51995838,0.544286991,0.918440077,14.04095734,19.02354241,0.030620682,0.05801193,0.021935308,0.029693881,0.671118869,0.688083735,2.783361876,10.86706186,0.632122652,4.69E-06,0.042190123,0.696379689,1.190057756,7.017151355,0.59011875,0.696647427,0,0.000336455,0,1.607722283,4.307159333,0.840620987,0.205252241,0.247717746,0.009066271,0.002206886,0.013057336,0.061513268,0.013255397,0.009968836,0.001081378,0.001607712
38_1.cdf,0.084788499,0.030159324,1.343182122,1.821753201,0.045065186,0.632512347,0.742383012,1.361880844,0.187408097,0.270125776,8.402050462,15.97320078,0.471326516,0.878736547,12.38834574,17.04694688,0.217953877,0.212914801,0.026162282,0.032481215,0.646041415,0.790080989,3.306503977,13.05293669,0.688891986,0,0.027220387,0.886107477,1.508221205,8.954668536,0.578673659,0.764858689,0,0,0,1.512211836,3.923520989,0.754724251,0.161203147,0.171578053,0.003682184,0.000939428,0.013711604,0.060468111,0.009705058,0.010137876,0.001792847,0.00274211
39_1.cdf,0.1037509,0.044277072,0.185439896,0.373369448,0.037901657,0.170767362,0.987129933,0.450715834,0.067533896,0.269527153,12.53250376,17.42500261,0.684564209,0.882654734,14.77894908,18.58793115,0.046264607,0.066067382,0.032077297,0.046934541,0.704482812,0.688678372,3.687013506,11.53111384,0.637340259,0.001742562,0.059685852,0.619660532,1.313341342,6.463520572,0.675821442,0.626541397,0,0.005631897,0,1.32843291,2.822427174,0.709350399,0.12991716,0.141913377,0.008089192,0.001128667,0.00430801,0.040730517,0.009617345,0.007507845,0.007307433,0.001333069
3_1.cdf,0.064726752,0.035535168,0.050839796,0.126936505,0.028177808,0.042662364,0.195469116,0.18377636,0.036228638,0.120045184,13.03653353,16.1321651,1.257340227,1.172354582,16.8748798,18.74051832,0.014074247,0.028385262,0.023137546,0.026492965,0.542923003,0.506878872,5.875210707,8.672625434,0.395063842,0,0.090081487,1.996223286,2.51258072,4.28754962,0.665564877,1.096485376,0.042380685,0.019507272,0.028839368,1.945415239,2.327265555,0.556172378,0.106915938,0.081227881,0.025820783,0.0031641,0,0.004232605,0.021381844,0.003714391,0.001195051,0.001300429
40_1.cdf,0.040280248,0.037534702,0.350839715,0.384803133,0.035665447,0.307278713,1.977591291,0.4009571,0.065649201,0.311298391,13.03395147,20.60796081,0.588306877,0.644946639,16.90960498,19.5160135,0.06161883,0.064496219,0.030046857,0.050169187,0.712993427,0.589896807,3.341518591,9.469064804,0.59960522,8.96E-06,0.083895295,0.589365999,0.936148066,3.741118025,0.784892652,0.547352349,0.018275934,0,0,0.972087135,1.416174452,0.592459999,0.069852138,0.075899753,0.017187314,0.001146943,0,0.005740065,0.012097053,0.000505463,0.002325441,0.001374792
4_1.cdf,0.0536848,0.029036296,0.088021515,0.497880484,0.035373334,0.07362036,0.247003729,0.530203013,0.08618382,0.136817481,7.443574512,15.71616539,0.429680476,0.874288612,14.37715482,17.85959287,0.016903424,0.054748521,0.023317391,0.029595833,0.457986683,0.519305647,5.256951989,10.55579921,0.452252976,6.62E-05,0.088448881,3.633690343,2.997517082,6.539358961,0.688025184,2.038090354,0.033158732,0.027819358,0.030060229,2.825821793,4.131239251,0.694261779,0.184373584,0.146336097,0.031332501,0.003098853,0,0.033980647,0.021318575,0.004244318,0.001297795,0.001316261
5_1.cdf,0.144611807,0.034435825,0.026842729,0.077982991,0.030643254,0.044362626,0.27298011,0.176512821,0.034175965,0.134081022,12.61262116,16.16199618,1.017847667,0.982332009,16.60244468,18.56234355,0.014121114,0.024504895,0.027610922,0.033376145,0.555835007,0.513542494,6.424452919,9.173079663,0.436233624,0.000545858,0.10828121,0.7612688,2.756688602,4.932253653,0.713113747,0.628323496,0.039125227,0.0211494,0.028162371,2.256627328,2.749895332,0.600588494,0.133200835,0.094844381,0.019537116,0.001983001,0,0.011857162,0.01655507,0.001000957,0.004398194,0.001628594
6_1.cdf,0.267947734,0.027891906,0.437413176,0.017647201,0.027121014,0.287162047,1.500771739,0.056395304,0.02139936,0.390676787,9.812687628,16.91402257,0.649461374,1.316157275,13.57585881,16.49681941,0.077943528,0.013904156,0.023468893,0.035275551,0.505418983,0.738354443,5.437773767,12.24877207,0.51812804,0.001332666,0.06665516,0.462036212,2.346684126,7.917404513,0.633217931,0.488744467,0.013884048,0.015477074,0.004135069,2.140838606,3.585974351,0.589802779,0.154381555,0.114981659,0.00976273,0.001884881,0,0.031212863,0.009647106,0.0060825,0.006857902,0.000529045
7_1.cdf,0.062551105,0.030436276,0.365201332,0.022641634,0.027147921,0.306085354,1.951696638,0.217035628,0.017563073,0.721238288,13.73883986,16.70898487,2.64586486,2.481165634,14.68761953,16.13911672,0.07659729,0.014744515,0.021088859,0.037405691,0.663589129,0.693979583,5.99448953,9.296294432,0.428602516,0,0.112011369,0.564105538,2.380183167,4.458370338,0.540207768,0.48905343,0.026103042,0.024498077,0.025364952,1.624561223,1.75135496,0.474385572,0.081064069,0.055501784,0.011470914,0.00153486,0,0.013000033,0.011100272,0.002894794,0.002533817,0.000719757
8_1.cdf,0.086371834,0.078530237,0.205399499,0.446216989,0.100519923,0.255488353,0.880014497,0.761992732,0.086485028,0.208176728,8.06346979,26.54349766,0.318082387,0.464275279,15.5243018,25.17271369,0.053272595,0.098328562,0.061603399,0.071512148,0.606902078,0.511209489,2.059839013,8.466569013,0.695505837,0.000168088,0.006272828,0.725112368,0.377424461,2.252930921,1.385855113,0.738445201,0.078591726,0,0,0.760330335,0.910970531,0.837572671,0,0.01989276,0.025610389,0.007686642,0,0,0.037397334,0.007905778,0.002455319,0.005098977
9_1.cdf,0.017507318,0.019487229,0.436336103,0.907976608,0.025213457,0.435378075,1.098606337,1.12243767,0.100252992,0.217737705,8.855551924,13.50313638,0.565581041,0.863152786,11.7718412,14.35524821,0.080188949,0.13151396,0.016268726,0.022583082,0.538360585,0.88853627,7.112000984,12.4942373,0.629117673,0,0.075359896,0.491911426,3.499314598,10.36250397,0.414976077,0.516606039,0.002147731,0.01241519,0,2.644754546,4.817328859,0.612419915,0.147234573,0.12322589,0.011218117,0.001833174,0.003067385,0.037119621,0.011572768,0.00473473,0.00063207,0.00137086
