compound,2-Heptanone,2-Nonanone,Hexadecenal,Hexadecanal,Nonadecane,Methyl Hexadecanoate,"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",Eicosane,Octadecenal,Heneicosene 1,Heneicosene 2,Heneicosane,Docosene,"Octanoic Acid, Dodecyl Ester",Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosene,Tetracosane,Pentacosene,Pentacosane,Hexacosene,Hexacosane,Docosyl Acetate,Heptacosene 1,Heptacosene 2,Heptacosane,Octacosene,Octacosane,Tetracosyl Acetate,Nonacosene 1,Nonacosene 2,Nonacosane,"Hexadecenoic Acid, Dodecyl Ester","Hexadecanoic Acid, Dodecyl Ester",Triacontene,Triacontane,Hexacosyl Acetate,Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Octacosyl Acetate,"Unknown (m/z 434, 405, 126)",Tritriacontene,Tritriacontane,"Unknown (m/z 434, 390)","Unknown (m/z 464, 338, 265, 201, 127)","Unknown (m/z 462, 433,139, 126)","Unknown (m/z 463, 418)","Octadecenoic Acid, Hexadecyl Ester"
compound_class,Ketone,Ketone,Aldehyde,Aldehyde,Alkane,Ester,Terpenoid,Alkane,Aldehyde,Alkene,Alkene,Alkane,Alkene,Ester,Alkane,Alkene,Alkane,Ester,Alkene,Alkane,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Ester,Ester,Alkene,Alkane,Ester,Alkene,Alkane,Ester,Ester,Unknown,Alkene,Alkane,Unknown,Unknown,Unknown,Unknown,Ester
Avg. RI,890,1093,1804,1821,1898,1926,1927,2000,2009,2077,2082,2100,2178,2178,2200,2279,2300,2376,2381,2400,2485,2500,2584,2600,2611,2682,2688,2700,2782,2800,2814,2884,2889,2900,2959,2973,2983,3000,3016,3086,3100,3163,3215,3221,3284,3299,3326,3374,3422,3515,3550
91a.cdf,0.0241,0.0069,0.0082,0.0157,0.0342,0.0044,0.004,0.0106,0.0165,0.0056,0.0172,1.9535,0.0865,0.0664,1.2577,4.7874,6.9624,0.1296,1.0084,3.4628,7.3959,7.6408,1.4657,2.6428,1.2223,3.8781,6.7798,6.6652,0.5571,0.8752,6.9547,4.0567,6.5445,4.5191,0.4923,0.4212,0.7992,0.5909,6.4987,7.5733,0.8914,0.1635,0.3532,0.4851,0.3118,0.1222,0.1409,0.0045,0.0379,0.0362,0.0179
92a.cdf,0.0333,0.0081,0.0064,0.0166,0.0306,0.0013,0.0008,0.0075,0.0141,0.0063,0.0092,1.5786,0.0941,0.0489,1.1091,5.7671,8.0455,0.1166,1.8302,4.8498,8.9988,9.3899,1.5702,2.0996,1.1258,3.8379,4.3238,6.7663,0.3879,0.558,7.9916,3.1638,3.6111,4.7717,0.4319,0.3706,0.5543,0.5051,7.86,5.4048,1.2632,0.0955,0.3672,0.3924,0.2473,0.1265,0.1284,0.0029,0.0271,0.0413,0.011
93a.cdf,0.0291,0.0084,0.0062,0.0164,0.0238,0.0012,0.0008,0.0061,0.0169,0.006,0.0081,1.2083,0.0857,0.2342,0.8175,5.7519,7.9488,0.1954,1.874,4.8346,9.4321,9.6587,1.8809,2.0707,1.0528,4.2086,4.5415,6.7473,0.4298,0.5125,7.7708,3.3145,3.6539,4.1604,0.4645,0.402,0.5701,0.4815,7.972,5.185,0.8426,0.2091,0.3806,0.4089,0.2066,0.104,0.1293,0.0084,0.034,0.0475,0.0463
9a.cdf,0.0278,0.0101,0.0084,0.0184,0.0942,0.0022,0.0014,0.0257,0.0211,0.0149,0.0665,3.4314,0.2731,0.0265,2.3563,6.2973,7.9481,0.1986,1.8478,4.3798,8.8756,8.0669,1.8323,1.9383,0.9982,3.6938,6.7823,5.7188,0.4712,0.5595,6.7115,3.2592,5.2582,3.3774,0.5058,0.4261,0.6232,0.4984,6.1327,4.9288,0.6168,0.241,0.3453,0.4996,0.217,0.1124,0.1501,0.0004,0.041,0.0441,0.0245
1.cdf,1.5827,0.3485,0.0058,0.0322,0.0103,0.0033,0.0027,0.0051,0.0166,0.0058,0.0018,0.331,0.0371,0,0.1861,4.7467,16.4398,0.5323,0.344,1.761,16.3839,23.0519,3.9975,1.6738,1.3056,1.6531,2.2644,6.2025,0.7348,0.6173,3.4594,1.2733,1.5315,2.053,0.6062,0.5614,0.6993,0.6304,1.8779,1.5848,0.7462,0,0.1639,0.1702,0.1929,0.1476,0.0048,0,0.0103,0.0091,0.0001
10.cdf,0.1373,0.0544,0.0054,0.0382,0.0115,0.0197,0.019,0.0061,0.0106,0.0067,0.0025,0.2962,0.0521,0,0.1513,9.1673,15.8901,0.3488,0.5296,1.3366,21.2247,25.1003,3.2998,1.3003,1.0257,1.5681,2.3303,5.2863,0.6173,0.4341,1.478,0.9256,1.1584,1.6127,0.4571,0.431,0.5436,0.4985,0.9077,0.8748,0.5442,0.016,0.0445,0.0385,0.0931,0.0695,0.0194,0,0.0048,0.0049,0.0074
11.cdf,0.3514,0.0888,0.001,0.0206,0.0052,0.063,0.0622,0.0029,0.0033,0.0018,0.0009,0.16,0.017,0,0.0668,2.6755,11.7943,0.2567,0.1205,0.6229,11.4021,18.5091,2.3521,1.1615,0.843,2.5417,5.8562,11.7121,0.9655,0.8838,1.8045,2.7117,4.4142,5.2365,0.9028,0.7962,1.0645,0.8933,1.3737,5.1742,1.791,0,0.2613,0.2569,0.4746,0.2619,0.0188,0,0.0101,0.0089,0.003
12.cdf,0.0957,0.0267,0.0024,0.0259,0.0086,0.0052,0.0046,0.0043,0.009,0.0037,0.003,0.3343,0.0283,0,0.1472,4.1762,16.4161,0.3412,0.1751,1.0203,11.4936,22.0539,2.7151,1.313,0.9655,2.1393,4.6029,10.8906,0.9023,0.7714,2.4581,2.2346,3.0862,3.1536,0.7176,0.6465,0.8356,0.7063,1.4035,2.5938,0.8335,0.0004,0.1484,0.1515,0.1856,0.1318,0.0186,0.0004,0.0072,0.0056,0.0056
13.cdf,0.106,0.0455,0.0025,0.0258,0.0071,0.0053,0.0047,0.0042,0.0144,0.0038,0.0007,0.2628,0.0311,0,0.1286,6.9711,16.9463,0.3716,0.384,1.2108,19.3773,23.7616,3.152,1.2846,1.0084,1.822,2.6217,6.2465,0.66,0.5,2.2188,1.3201,1.5244,2.0286,0.523,0.4831,0.6156,0.5485,1.1532,1.4802,0.6739,0.0072,0.0874,0.09,0.1474,0.0978,0.0205,0,0.0078,0.006,0.0059
14.cdf,0.1357,0.031,0.0002,0.0212,0.005,0.0039,0.0036,0.0025,0.0027,0.0012,0,0.2374,0.0193,0,0.119,3.8619,16.6162,0.3635,0.1959,1.3676,13.204,24.0798,3.2684,1.5666,1.1434,1.9486,3.7631,10.4388,0.8765,0.7666,1.7844,1.8148,2.205,3.0744,0.6365,0.5751,0.7412,0.6368,1.058,2.0174,0.8527,0,0.1178,0.1173,0.1685,0.1243,0.0124,0.0001,0.008,0.0062,0.0056
15.cdf,1.2119,0.5014,0.0026,0.019,0.0094,0.1059,0.1053,0.0037,0.0078,0.0025,0.0009,0.536,0.0311,0,0.2549,6.5455,16.131,0.4596,0.4221,1.9993,15.9814,18.6445,3.0301,1.3674,1.0568,1.8854,2.9826,7.154,0.6698,0.5718,4.5259,1.6909,2.2122,2.0393,0.5756,0.5191,0.6597,0.5623,2.1583,2.0883,0.5811,0,0.1708,0.1967,0.1722,0.1187,0.0158,0,0.0103,0.0061,0.0025
16.cdf,0.2134,0.106,0.0021,0.0162,0.0082,0.0743,0.0739,0.0034,0.0064,0.0025,0.001,0.3794,0.0212,0,0.201,5.3124,13.8691,0.3864,0.4754,2.0637,15.7191,16.3719,2.7945,1.291,1.0189,2.1402,3.0967,6.9837,0.6329,0.5618,7.2895,1.9928,2.9136,2.2585,0.6521,0.5813,0.737,0.6297,4.3555,3.0812,0.6511,0.0002,0.2785,0.2949,0.2422,0.1565,0.0287,0,0.0151,0.0112,0.0037
17.cdf,1.9603,0.658,0.0064,0.0313,0.0119,0.242,0.2383,0.0043,0.0097,0.0044,0.0018,0.2951,0.031,0,0.1291,4.7654,14.4789,0.293,0.3217,1.6379,15.7249,22.789,3.1295,1.5368,1.1102,1.6558,2.4169,10.1847,0.7673,0.6839,2.3266,1.2529,1.4679,3.2417,0.5882,0.5335,0.6642,0.594,1.4092,1.4227,0.8768,0,0.1205,0.1194,0.136,0.118,0.0045,0,0.0028,0.0016,0.0001
18.cdf,1.0113,0.4951,0.0037,0.032,0.0087,0.0309,0.0298,0.004,0.0069,0.0055,0.001,0.3424,0.0344,0,0.1483,10.6873,18.5706,0.3838,0.4919,1.1012,22.1905,20.2731,2.6792,1.0432,0.822,2.0555,2.8317,4.884,0.5774,0.3821,1.2092,0.9815,1.1843,1.4871,0.4234,0.3976,0.5016,0.457,0.7262,0.8226,0.4695,0.0235,0.0253,0.0193,0.0687,0.0477,0.0196,0,0.0025,0.002,0.0042
19.cdf,1.7257,0.6598,0.0027,0.0288,0.0059,0.0015,0.0008,0.0032,0.0057,0.004,0,0.1852,0.0333,0,0.0892,10.796,15.0133,0.3293,0.4928,1.0326,23.2199,23.0199,3.0004,1.1476,0.9106,1.7719,2.5656,4.5606,0.566,0.3761,1.1662,0.8796,1.1023,1.3948,0.4124,0.3883,0.4887,0.4499,0.7081,0.7615,0.4849,0.022,0.0212,0.0164,0.071,0.0476,0.0212,0,0.0036,0.004,0.008
2.cdf,0.3516,0.2037,0.0028,0.0234,0.0072,0.0057,0.0051,0.0025,0.0064,0.0023,0,0.2764,0.0224,0,0.1597,4.4463,15.722,0.5291,0.327,1.7878,16.0486,20.5054,3.7411,1.7178,1.2971,2.0117,2.8289,7.5167,0.8051,0.7577,3.5456,1.7001,1.9523,2.6486,0.6676,0.6059,0.7741,0.6902,2.0061,2.4269,0.9514,0,0.2111,0.2203,0.2672,0.1876,0.0051,0,0.0106,0.01,0.008
20.cdf,0.1637,0.0448,0,0.0251,0.0056,0.0081,0.0075,0.0033,0.0046,0.0024,0,0.2214,0.0318,0,0.1169,9.7971,17.1965,0.3841,0.4625,1.1549,22.3226,24.4327,3.1429,1.1654,0.9451,1.4501,2.1393,4.208,0.5453,0.354,1.5745,0.8763,1.1127,1.5008,0.4334,0.407,0.5157,0.4726,0.9268,0.9325,0.6089,0.0172,0.0362,0.029,0.1085,0.0695,0.0223,0,0.006,0.0051,0.0093
21.cdf,0.5028,0.2232,0,0.0219,0.0034,0.0068,0.0064,0.0014,0,0,0,0.1093,0.0224,0,0.0677,8.4108,14.6154,0.4037,0.343,0.8526,24.7622,25.4238,3.5855,1.291,1.0394,1.7129,2.4992,4.2835,0.6174,0.3713,0.9239,0.9741,1.1165,1.4465,0.4451,0.4257,0.5441,0.5004,0.6141,1.0081,0.561,0.0306,0,0,0.1161,0.0498,0.0294,0,0.0042,0.0104,0.0228
22.cdf,0.1096,0.0243,0,0.0244,0.0051,0.0194,0.019,0.0026,0.0016,0.0015,0,0.1702,0.0359,0,0.0889,10.3733,15.6989,0.4462,0.3631,1.018,21.5609,26.7743,3.7666,1.4,1.1289,1.3434,2.1,4.0687,0.6017,0.3925,1.1291,0.7682,1.001,1.4065,0.4399,0.4208,0.5268,0.4976,0.7156,0.7488,0.5642,0.0242,0.0031,0,0.0947,0.0561,0.0273,0,0.0058,0.0095,0.0219
23.cdf,0.6162,0.3922,0.0011,0.0253,0.0079,0.0043,0.0037,0.0029,0.0025,0.0025,0,0.2296,0.042,0,0.0979,12.4501,14.398,0.4364,0.5196,1.0881,24.6854,22.4704,3.5778,1.2773,1.0483,1.5595,2.3582,3.6911,0.5713,0.3729,1.0341,0.7793,0.9908,1.2878,0.4046,0.3823,0.4847,0.445,0.6568,0.7893,0.5516,0.0174,0.023,0.0159,0.1008,0.0625,0.0197,0,0.0044,0.0057,0.0118
24.cdf,0.5843,0.3436,0,0.0429,0.0088,0.0598,0.058,0.006,0.0031,0.0037,0.0025,0.4001,0.03,0,0.0746,2.889,12.7513,0.3845,0.0675,0.5079,16.8706,19.6134,3.2804,1.3141,1.042,2.6246,6.5138,9.9826,1.1534,0.7998,1.5039,1.6751,3.0273,3.9888,0.9128,0.8467,1.0546,0.9724,1.1074,1.6515,1.3537,0.0239,0.0463,0.0335,0.1736,0.124,0.0426,0,0.0099,0.0139,0.026
25.cdf,0.4771,0.203,0,0.0339,0.0201,0.5274,0.5207,0.0103,0.008,0.0145,0.0658,2.9015,0.0477,0,0.2555,8.649,27.0939,0.7093,0.1725,0.9291,16.2039,14.5282,2.8452,1.039,0.8638,1.6192,4.5792,4.0573,0.7132,0.4116,0.9748,0.9261,2.1636,1.579,0.5644,0.534,0.6645,0.616,0.697,0.8957,0.6571,0.0496,0.0015,0,0.0773,0.0525,0.033,0,0.0005,0.0023,0.0109
26.cdf,1.2132,0.723,0.0014,0.0434,0.0205,0.0095,0.0083,0.0094,0.0026,0.0134,0.0079,2.676,0.0459,0,0.2557,8.4967,28.1108,0.7616,0.1703,1.0003,15.2007,15.9817,2.9481,1.1357,0.9297,1.5654,2.8722,4.277,0.6958,0.4071,0.9487,0.8986,1.4421,1.8382,0.5597,0.5386,0.6892,0.655,0.6812,0.9738,0.8938,0.0392,0,0,0.1164,0.0791,0.0429,0.0031,0,0.0031,0.0141
27.cdf,0.3951,0.1377,0,0.0339,0.0071,0.0045,0.0039,0.0037,0.0024,0.0019,0,0.267,0.0363,0,0.1211,7.8174,19.9147,0.5734,0.2161,0.9804,16.0777,26.4455,3.8671,1.4344,1.1747,1.4418,2.5328,5.06,0.7301,0.4324,1.4467,0.9538,1.3431,1.5972,0.5518,0.5256,0.657,0.6119,0.904,0.882,0.5628,0.0311,0,0,0.0952,0.0518,0.0353,0,0.0071,0.0092,0.0218
28.cdf,0.3027,0.0983,0,0.0224,0.0045,0.0019,0.0016,0.0028,0.0017,0.0014,0,0.1475,0.0205,0,0.0785,4.7387,14.812,0.4314,0.1815,0.8651,15.07,25.3936,3.6683,1.5324,1.1901,1.9797,3.539,9.1893,0.939,0.7763,1.5675,1.6689,1.936,2.8432,0.6716,0.6152,0.7798,0.686,1.0027,1.8488,0.8585,0,0.0999,0.094,0.1753,0.1191,0.0187,0,0.0081,0.0052,0.0115
29.cdf,0.3794,0.1025,0.0006,0.027,0.0057,0.005,0.0045,0.0034,0.0021,0.0016,0.0005,0.1575,0.0202,0,0.0675,2.3408,11.3038,0.3278,0.0638,0.5295,7.8926,20.4643,2.7951,1.2908,0.9741,2.1941,5.435,14.6521,1.258,1.1108,2.0526,2.7718,4.4629,5.467,1.0732,0.9603,1.2194,1.0373,1.5611,3.585,1.4654,0,0.2125,0.2044,0.2727,0.2046,0.0147,0,0.0093,0.0081,0.0076
3.cdf,0.5804,0.41,0.0044,0.0353,0.0165,1.1664,1.1641,0.0057,0.0079,0.0062,0.0032,0.4821,0.0749,0,0.1532,11.1681,14.8861,0.4478,0.4678,1.0147,20.2294,20.6471,3.3655,1.2763,1.031,2.001,3.014,4.9892,0.6867,0.4751,1.0853,1.1281,1.3269,1.6923,0.4976,0.4687,0.5969,0.5395,0.722,1.1512,0.6324,0.014,0.049,0.0445,0.128,0.085,0.0116,0,0.0044,0.0069,0.0056
30.cdf,0.5208,0.2903,0.0039,0.031,0.0081,0.0114,0.0106,0.0037,0.0052,0.0032,0.0005,0.2762,0.0349,0,0.123,8.835,17.1493,0.4854,0.3767,1.0926,20.9632,23.2083,3.5746,1.3851,1.1119,1.7298,2.7679,4.8368,0.6681,0.4955,1.4617,1.0687,1.3062,1.423,0.48,0.4489,0.5659,0.5184,0.8656,1.0421,0.4969,0.014,0.0497,0.0455,0.1046,0.0701,0.0211,0,0.0039,0.0023,0.0088
31.cdf,0.6603,0.3955,0.0011,0.0292,0.0095,0.0484,0.0472,0.0049,0.0028,0.0056,0.0046,0.5815,0.0234,0,0.1106,4.436,20.2924,0.5251,0.118,0.9162,13.8897,22.9235,3.2877,1.3666,1.0577,1.7244,3.784,8.3156,0.8757,0.7178,1.1859,1.0265,1.6695,3.5118,0.6686,0.611,0.7551,0.7082,0.8364,1.06,1.344,0,0.08,0.0735,0.1422,0.1409,0.0115,0,0.0044,0.0051,0.0104
32.cdf,0.2525,0.099,0.0011,0.0294,0.0256,0.9257,0.9224,0.0089,0.0054,0.0128,0.0065,1.6347,0.0313,0,0.1193,3.1492,16.6699,0.4354,0.0748,0.6736,12.2243,20.2087,2.974,1.3159,0.9973,2.8571,5.1083,11.4752,1.1015,0.9082,1.4459,1.6471,2.1103,3.7217,0.7739,0.7064,0.8709,0.7786,0.9605,1.3427,0.9704,0,0.0894,0.0815,0.1245,0.1112,0.0123,0,0.0012,0.0008,0.0028
33.cdf,0.0676,0.0143,0.0005,0.0127,0.0064,0.0214,0.0212,0.0026,0.0045,0.0015,0.0006,0.4181,0.0221,0,0.2385,6.1681,15.2327,0.5722,0.3893,2.3813,14.9444,17.2455,3.2362,1.4109,1.1358,1.4092,2.1268,6.2279,0.6282,0.5796,7.5078,1.5317,2.395,2.3065,0.6617,0.5918,0.7262,0.6365,4.8019,2.4844,0.7703,0,0.3017,0.3112,0.2284,0.1737,0.0246,0,0.0124,0.0112,0.0032
34.cdf,0.144,0.0331,0.004,0.0291,0.0116,0.0161,0.0155,0.0057,0.0074,0.0049,0.0027,0.3647,0.037,0,0.1888,6.16,19.7789,0.4795,0.3261,1.7947,16.9772,27.1285,3.7549,1.5415,1.2025,1.3454,2.2968,5.6062,0.6568,0.5063,1.9223,0.8442,1.1227,1.3663,0.4457,0.4173,0.5194,0.4726,1.036,0.7323,0.4253,0.0051,0.0543,0.0493,0.0745,0.0641,0.0164,0,0.0029,0.0029,0.0064
35.cdf,0.0963,0.0244,0.0005,0.0249,0.0079,0.0142,0.0137,0.0041,0.0032,0.0023,0.0038,0.3118,0.0262,0,0.1466,3.9919,19.6739,0.4512,0.1517,1.27,12.1588,28.2856,3.5814,1.5175,1.1616,1.5424,4.3022,8.0161,0.8254,0.659,1.4912,1.1379,1.9553,2.0561,0.5613,0.5199,0.6515,0.577,0.8909,1.0153,0.5584,0.0045,0.055,0.0489,0.0963,0.0741,0.019,0,0.0051,0.0044,0.0094
36.cdf,0.2083,0.058,0.0008,0.0155,0.0063,0.0153,0.015,0.0025,0.0038,0.0017,0.0003,0.2519,0.0231,0,0.1469,7.1312,16.6047,0.4904,0.4359,2.1921,17.3065,20.9829,3.5483,1.5716,1.1957,1.6431,2.3612,7.6744,0.7223,0.6694,2.5613,1.1489,1.3439,2.8691,0.5615,0.5072,0.6317,0.5711,1.5342,1.3937,0.9876,0,0.1451,0.1449,0.161,0.1451,0.0027,0,0.0053,0.0028,0.004
37.cdf,0.3625,0.1845,0.0032,0.0268,0.0129,0.0093,0.0087,0.0049,0.0051,0.0063,0.0101,0.5857,0.0685,0,0.2267,14.4915,18.604,0.4906,0.5954,1.3578,20.5742,19.1627,2.9018,1.1091,0.8839,1.4319,2.7828,4.1069,0.5651,0.4225,0.9917,0.7854,1.195,1.6881,0.4142,0.3827,0.4847,0.4479,0.613,0.9135,0.7453,0.0042,0.0552,0.0507,0.1167,0.0934,0.0139,0,0.0027,0.0015,0.0048
38.cdf,0.2653,0.1196,0.0025,0.0348,0.0099,0.0095,0.0089,0.0049,0.004,0.0043,0.0019,0.2566,0.0388,0,0.0975,11.7015,16.4863,0.4233,0.4466,1.0446,23.7548,24.0237,3.442,1.2444,1.011,1.4304,2.5082,3.5223,0.5745,0.3307,0.8544,0.7068,1.064,1.0881,0.4088,0.3916,0.4945,0.4609,0.5618,0.5886,0.3963,0.0353,0,0,0.0605,0.0324,0.0277,0,0.0058,0.0048,0.0149
39.cdf,0.0968,0.0235,0,0.0235,0.0106,0.1586,0.1581,0.0048,0.0039,0.0041,0.0041,0.3904,0.0494,0,0.1517,13.077,21.0069,0.5357,0.3553,1.3825,15.4495,26.6065,3.4812,1.3117,1.0535,0.9627,1.7609,4.2337,0.5542,0.3779,0.8422,0.4915,0.7777,1.4342,0.3868,0.3668,0.4513,0.4302,0.5422,0.4058,0.4935,0.013,0.0008,0,0.0486,0.044,0.02,0,0.0043,0.005,0.0134
4.cdf,0.7754,0.1301,0.0008,0.0216,0.0061,0.0037,0.0033,0.002,0.0039,0.0015,0,0.2545,0.0279,0,0.1281,4.9092,16.5092,0.4857,0.2404,1.5646,13.3043,24.9756,4.0194,1.8129,1.3525,1.9484,3.1536,9.3999,0.9249,0.8022,1.4787,1.5176,1.5544,2.6205,0.6038,0.5541,0.7064,0.6194,0.8948,1.4507,0.7617,0,0.0971,0.0963,0.1477,0.1182,0.0017,0,0.008,0.0058,0.0016
40.cdf,0.0732,0.0203,0,0.018,0.0186,0.0507,0.0502,0.0059,0.0028,0.0093,0.0056,0.6921,0.0716,0,0.2016,15.236,20.1955,0.573,0.4406,1.4831,17.0076,21.9871,3.2229,1.2189,0.9796,1.08,1.8401,4.3576,0.5404,0.4117,0.9853,0.5855,0.7993,1.8037,0.397,0.3683,0.4578,0.4318,0.6873,0.6194,0.7761,0,0.0472,0.04,0.0924,0.0877,0.0114,0,0.0032,0.0044,0.0081
41.cdf,0.1003,0.0266,0,0.0223,0.0088,0.0146,0.0142,0.0037,0,0.0015,0.0014,0.386,0.034,0,0.1381,12.5211,25.4501,0.7252,0.2467,1.2786,14.2814,25.7415,3.7018,1.3233,1.0893,0.9006,1.6397,3.1965,0.5349,0.2851,0.8502,0.4585,0.8118,1.089,0.3897,0.3772,0.465,0.4484,0.5633,0.3979,0.3844,0.0056,0,0,0.0234,0.0206,0.0139,0,0.0104,0.0114,0.012
42.cdf,0.0932,0.1029,0.055,0,0.0724,0.3004,0.2491,0.0885,0,0,0,0.7656,0.2442,0,0.4298,8.6439,17.9168,1.1194,0.1458,1.4274,15.4268,26.3659,4.7569,1.7146,1.5341,1.2939,3.3877,2.2078,1.0976,0,1.3254,0.7446,2.0682,0,1.0676,1.0378,1.275,1.2619,1.0524,0.7244,0,0,0,0,0,0,0,0,0,0,0.0031
43.cdf,0.0659,0.0287,0,0.0288,0.0019,0,0,0,0,0,0,0.1397,0.02,0,0.0821,3.6655,18.0236,0.6067,0.0918,1.1025,11.9469,38.3621,5.1357,1.8979,1.541,1.1514,2.202,4.4353,0.7649,0.3501,1.1198,0.6371,1.2115,1.2312,0.5679,0.5673,0.7078,0.6828,0.7301,0.5499,0.3242,0,0,0,0,0,0,0,0.0162,0.0043,0.0054
44.cdf,0.1249,0.0399,0,0.0296,0.005,0.0312,0.0307,0.0007,0,0.0003,0,0.1985,0.0298,0,0.089,11.6011,19.7348,0.7374,0.2868,1.1467,19.5035,24.7567,4.4507,1.5492,1.3094,1.2321,2.161,2.8147,0.6438,0.2483,0.9663,0.6108,1.1047,0.881,0.4872,0.4825,0.6006,0.5799,0.6263,0.5357,0.3239,0,0,0,0.0151,0,0,0,0.0176,0.0056,0.0069
45.cdf,0.1512,0.0409,0,0.0251,0.0058,0.0315,0.031,0.0019,0,0,0,0.2113,0.026,0,0.0867,7.1753,16.6637,0.6404,0.2672,1.1569,20.8955,28.8922,4.9278,1.7501,1.4526,1.3339,2.2193,3.4341,0.6731,0.3636,1.0979,0.6815,1.0368,0.9705,0.468,0.455,0.5711,0.537,0.6753,0.6013,0.3266,0.0056,0,0,0.0463,0.0209,0.0169,0,0.0113,0.0096,0.0114
46.cdf,4.2894,0.7696,0,0.0352,0.0041,0.0171,0.0162,0.002,0.001,0.0003,0.0019,0.2124,0.0258,0,0.0785,5.8496,15.3267,0.6154,0.1396,0.8263,16.9334,20.9943,4.1105,1.5212,1.2584,1.9068,4.3883,5.9024,0.9599,0.598,1.3068,1.1675,2.0316,2.3806,0.72,0.6778,0.8435,0.7908,0.9046,1.0822,0.9987,0.0277,0.0037,0,0.1287,0.0902,0.0248,0,0.0095,0.0132,0.0139
47.cdf,0.5028,0.0805,0,0.0155,0.0044,0.0011,0.0008,0.0019,0.0016,0.0004,0,0.2312,0.0159,0,0.1347,2.7053,21.1327,0.7384,0.0942,1.8934,10.2183,28.8624,4.9459,2.0358,1.5995,1.4494,2.9811,7.361,0.8858,0.7494,1.872,1.0834,1.3498,1.9263,0.5548,0.5118,0.6381,0.5664,1.0356,0.8593,0.6089,0,0.0726,0.0703,0.0956,0.091,0.0022,0,0.0069,0.0069,0.0043
48.cdf,0.2525,0.0552,0,0.0181,0.0052,0.0365,0.0362,0.0024,0.0017,0.0012,0,0.1988,0.023,0,0.1151,4.5901,18.6017,0.6544,0.2224,1.8025,15.0769,28.7005,5.0225,2.0189,1.5989,1.3859,2.2549,6.5126,0.8109,0.6738,1.5069,0.885,0.9708,1.6438,0.4893,0.4556,0.566,0.5106,0.8163,0.6982,0.507,0,0.0509,0.0469,0.0852,0.0747,0.0027,0,0.0057,0.0069,0.005
49.cdf,0.1581,0.0309,0,0.0178,0.0048,0.0003,0,0.0025,0.0033,0.0012,0,0.192,0.0174,0,0.111,3.3918,18.2173,0.6182,0.1747,1.7337,13.7968,27.839,4.8301,1.9965,1.5701,1.4435,2.5707,7.3571,0.8579,0.74,2.2118,1.0849,1.3021,2.1021,0.5668,0.5212,0.6502,0.5798,1.2239,0.9801,0.6689,0,0.0944,0.0936,0.1174,0.107,0.0013,0,0.0074,0.0064,0.0039
5.cdf,0.6227,0.4433,0.0008,0.0294,0.0078,0.0091,0.0084,0.0029,0.0009,0.0035,0.0012,0.7048,0.0205,0,0.1377,4.5263,19.7757,0.5725,0.1683,0.8847,18.7092,16.7247,2.9977,1.2119,0.9542,2.7306,4.6235,7.3534,0.8568,0.676,1.1787,1.3973,1.8561,3.4879,0.6759,0.617,0.7726,0.7088,0.8632,1.6009,1.4542,0,0.1135,0.1086,0.2065,0.1705,0.0072,0,0.0088,0.0087,0.0052
50.cdf,0.0856,0.026,0.0009,0.0152,0.0064,0.0049,0.0046,0.003,0.0068,0.0016,0.0009,0.2787,0.018,0,0.158,4.3732,16.6693,0.6221,0.2274,2.0662,13.6171,20.87,3.9644,1.77,1.3679,1.4726,2.8736,8.4396,0.8561,0.8099,3.6905,1.323,1.8766,2.9997,0.6818,0.6119,0.7579,0.6717,3.0349,1.8627,1.0267,0,0.2307,0.229,0.1969,0.1819,0.0009,0,0.0075,0.0055,0
51.cdf,0.3741,0.0778,0.0029,0.0217,0.0072,0.0107,0.0103,0.0032,0.0051,0.0031,0.0028,0.2284,0.0251,0,0.1447,5.5348,17.7844,0.5627,0.2776,1.8249,15.1293,23.231,3.8935,1.6546,1.2824,1.4374,3.0197,7.6369,0.8063,0.7303,1.9167,1.0691,1.5906,3.1043,0.6163,0.5587,0.6969,0.633,1.1093,1.2702,1.1212,0,0.1305,0.1277,0.166,0.1575,0,0,0.0059,0.003,0.0001
52.cdf,0.1616,0.0513,0.002,0.022,0.0069,0.0026,0.0022,0.003,0.0057,0.0026,0.002,0.1726,0.0188,0,0.0696,2.2323,10.1388,0.2886,0.0938,0.5542,9.7257,17.1393,2.5517,1.2557,0.9179,2.4043,7.222,15.1394,1.275,1.2158,2.3425,2.6934,5.3565,5.4142,1.0736,0.9499,1.2135,1.0023,1.7582,3.4309,1.1825,0,0.2331,0.2306,0.2318,0.1869,0.0069,0.0001,0.0097,0.006,0
53.cdf,0.2714,0.0913,0.0028,0.0175,0.0126,0.1472,0.1466,0.0045,0.0131,0.0034,0.0068,0.4807,0.0274,0,0.1884,5.693,14.6695,0.4382,0.2526,1.166,13.8765,16.2769,2.7145,1.2265,0.9395,2.1839,5.5966,9.0145,0.8696,0.7943,3.6762,1.9956,3.6828,3.3401,0.7704,0.6811,0.8587,0.7275,2.6717,2.6712,0.9118,0,0.241,0.2505,0.207,0.1641,0.0102,0,0.0092,0.0051,0
