treatment,colony,ID,tissue,Carvone,Hexadecanal,Methyl.Hexadecanoate,Ethyl.Hexadecanoate,Octadecenal,Methyl.Octadecenoate,Heneicosane,Ethyl.Octadecenoate,Ethyl.Octadecanoate,Docosane,Tricosene,Tricosane,Decanoic.Acid..Dodecyl.Ester,Tetracosane,Pentacosene,Pentacosane,Methyl.Tetradecanoate,Ethyl.Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,Decanoic.acid..Hexadecyl.Ester,Octacosene,Tetracosyl.Acetate,Nonacosene,Nonacosane,Unknown1..mz.108.79..mw.402,Hexacosyl.Acetate,Triacontene,Hexadecenoic.Acid..Dodecyl.Ester,Octadecenoic.Acid..Decyl.Ester,Hentriacontene,Hentriacontane,Eicosenoic.Acid..Decyl.Ester,Tritriacontene,Tritriacontane,Unknown2..mz434.390..mw..,Octadecenoic.Acid..Hexadecyl.Ester,Unknown3..mz.464.338.265.201.127..mw..,Hexadecenoic.acid..Hexadecyl.Ester,Hexadecenoic.acid..Octadecenyl.Ester,Octadecenoic.Acid..Hexadecenyl.Ester,Octanoic.Acid,Octanoic.Acid..Ethyl.Ester,File_ID
group,manchego,19,Abdomen,0.0217848,0.050168734,0.881162264,0.352913338,0.034297161,0.704772718,0.457762253,0.364702593,0.045951956,0.105839997,5.371711601,7.12448318,0.439447145,0.461795546,7.457998203,7.913426449,0.209257105,0.065788988,0.026208101,0.051263025,0.328721032,0.364953807,3.083046531,5.168389179,0.269065636,0.003888006,0.038289374,0.246131821,0.805355412,2.60316761,0.386541735,0.251025741,0.020006909,0.01940121,0.007490434,0.5096969,0.889206441,0.268298418,0.036076174,0.033140712,0,0,0,0.014109671,0,0.006456821,0.014171881,0.002699419,41_2.cdf
iso,manchego,22,Abdomen,0.018249083,0.023550335,0.343933222,1.153719261,0.02950849,0.286831815,1.228092392,1.173955374,0.197814633,0.276391861,6.891586923,8.892587636,0.677473246,0.659437804,7.880045047,8.923081918,0.029620199,0.071816864,0.015023092,0.031299303,0.515554713,0.500198494,3.590433939,6.45317854,0.400996814,0,0.074958661,0.395510891,1.440435546,4.096402877,0.347584895,0.402863968,0.003742675,0.015411339,0.003245353,1.21399355,1.837018588,0.414209101,0.117602159,0.086323663,0.001173669,0,0.007703758,0.04163604,0.002949206,0.008916656,0.003551321,0.000898885,44_2.cdf
group,manchego,25,Abdomen,0.010908722,0.023806824,1.168916901,0.313862373,0.022900915,0.668523293,0.822390527,0.222418341,0.03228539,0.170253206,5.432186514,8.16540819,0.334491652,0.592374275,7.31905159,8.562854304,0.251065322,0.044551902,0.016211372,0.052735059,0.306615047,0.382051804,2.849426638,5.644046954,0.296409722,0.001162108,0.04523853,0.249176966,1.122752571,3.731951818,0.344032914,0.282328692,0.008775135,0.011030933,0.002680643,0.850781045,1.815969984,0.339859753,0.080851535,0.072947843,0.000938161,0.00032637,0.001947351,0.023102324,0.002341112,0.005778956,0.005264739,0.000742548,47_2.cdf
iso,manchego,27,Abdomen,0.008015878,0.014289504,0.569297753,0.275445118,0.017722866,0.423555767,0.728767139,0.310993488,0.029806072,0.186158722,5.675213441,8.249741782,0.379236116,0.530833028,7.286015188,8.322753831,0.112371596,0.044419154,0.012102176,0.025938023,0.300677758,0.328972479,2.754635007,5.181907796,0.260351624,0,0.051717747,0.217669268,0.956645016,2.862571486,0.325073479,0.241368759,0.009074664,0.010104456,0.005088748,0.749440907,1.248104818,0.299209613,0.061864827,0.05092424,0.003247448,0.000357635,0,0.015454698,0.002924145,0.004673786,0.000640859,0.000751441,49_2.cdf
group,ec,28,Abdomen,0.021560053,0.017776606,0.825669249,1.76816189,0.031856027,0.447116871,0.673252343,1.505768115,0.219267236,0.181652434,5.746540209,8.090924525,0.395827303,0.428963328,7.176496996,8.214432723,0.122641564,0.21208594,0.01415967,0.021082328,0.401276308,0.359901996,2.619681488,5.339072373,0.319830003,0,0.065819274,0.295052987,0.978299242,3.037895133,0.300786325,0.311306292,0.002867483,0.010767,0.001999675,0.874818332,1.464572525,0.354095249,0.098023327,0.080712369,0.001637672,0,0.005514264,0.033748726,0.003141537,0.00739247,0.000647711,0.000924262,50_2.cdf
group,ec,35,Abdomen,0.014792821,0.010224237,0.084143628,0.156931579,0.011907087,0.044261475,0.175510022,0.126276217,0.024607477,0.088370318,4.442817168,7.221760657,0.205018717,0.385736128,5.488851959,7.75005649,0.014641439,0.020082621,0.009481539,0.011754605,0.222893303,0.222326661,0.620227381,3.136736493,0.195607147,1.78E-05,0.006300878,0.191793357,0.145477358,1.283145553,0.258401534,0.178084936,0,0,0,0.226014297,0.476037535,0.195042911,0.012706897,0.02530277,0.007213748,9.26E-05,0,0,0.00354066,0,0.000540594,0.000573044,57_2.cdf
iso,ec,36,Abdomen,0.015888756,0.011937431,0.147471584,0.414166671,0.014828261,0.083330274,0.261655857,0.348584351,0.053867685,0.128428125,5.603601224,7.667467315,0.287186218,0.446673023,6.131027005,8.114978254,0.021662899,0.039799037,0.009687651,0.012351292,0.25152827,0.23086776,0.736992291,3.14054392,0.201365404,5.73E-05,0.009219303,0.222214069,0.193208429,1.317759035,0.259114919,0.198636875,0,0,0,0.263764964,0.511991137,0.206095742,0.016847267,0.027806657,0.007282602,7.55E-05,0,4.43E-05,0.004710235,0,0.000416791,0.000800446,58_2.cdf
group,ec,37,Abdomen,0.027912002,0.015323767,0.021923555,0.054738603,0.012151066,0.018397215,0.084291799,0.079249552,0.015622811,0.051766871,5.621721117,6.956644802,0.542200585,0.505552377,7.276924339,8.081440312,0.006069212,0.012240526,0.009977563,0.011424514,0.234123719,0.218580472,2.533556641,3.739880808,0.170362676,0,0.038845679,0.86082781,1.083495706,1.848912381,0.287010356,0.472835434,0.018275747,0.008412086,0.012436349,0.838917946,1.003582578,0.239837223,0.046105169,0.035027755,0.01113465,0.001364449,0,0.001825219,0.009220454,0.00160175,0.00051534,0.000560782,59_2.cdf
iso,ec,41,Abdomen,0.008637177,0.014429423,0.766241319,0.309163329,0.021659493,0.390784411,1.09116314,0.299628686,0.035840136,0.38514162,6.694304204,9.468010507,0.558540934,1.064036401,7.109723243,9.227981791,0.12307335,0.028988997,0.012385997,0.02053327,0.366886195,0.37999457,1.195641308,4.996544068,0.290265378,0.000600853,0.015317794,1.352127121,0.650244855,2.414848175,0.317173731,0.801902132,0.009823556,0.010671821,0.000877326,0.544045093,1.02785526,0.345995823,0.051921988,0.054120339,0.007678293,0.000572994,0.002115164,0.025138329,0.006572182,0.00550819,0.003122474,0.000788626,63_2.cdf
iso,ec,42,Abdomen,0.007520174,0.014571007,0.36473092,0.090302817,0.017003536,0.207454508,0.912097143,0.182734123,0.016293185,0.290594941,6.96633175,8.970977409,0.654160787,0.839829073,7.345390117,8.787559213,0.066435908,0.016193583,0.01114767,0.020470567,0.343298904,0.310372686,1.386558678,3.778824326,0.244690318,3.43E-05,0.036747298,0.6716107,0.580239495,1.619768563,0.317075275,0.444470743,0.01333083,0.01418477,0.006146672,0.536324629,0.728679334,0.305745227,0.047709609,0.040725813,0.005338022,0.000391953,0.000265822,0.018321976,0.005004569,0.003710525,0.000536109,0.000559225,64_2.cdf
